energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,icsd_id,icsd_ids,cif,total_magnetization,material_id,oxide_type,tags,elasticity,piezo,diel,full_formula
-10.48376987,-5.241884935,30.485918432146896,0.409028113333334,2,"{'Fe': 1.0, 'Ag': 1.0}",FeAg,False,"['Ag', 'Fe']",2,0.409028113333334,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}","['mp-1224956', 'mp-1430676', 'mp-1584003', 'mp-1675191']",0.0,8.917302751536443,,[],"# generated using pymatgen
data_FeAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.90541887
_cell_length_b   4.90541887
_cell_length_c   4.90541858
_cell_angle_alpha   32.60798098
_cell_angle_beta   32.60798098
_cell_angle_gamma   32.60798868
_symmetry_Int_Tables_number   1
_chemical_formula_structural   FeAg
_chemical_formula_sum   'Fe1 Ag1'
_cell_volume   30.48591843
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.50000000  0.50000000  0.50000000  1
  Ag  Ag1  1  0.00000000  0.00000000  0.00000000  1
",2.7606849,mp-1224956,None,[],,,,Fe1Ag1
-26.8745052,-6.7186263,53.83921477294899,0.34147874416666646,4,"{'Fe': 3.0, 'Ag': 1.0}",Fe3Ag,False,"['Ag', 'Fe']",2,0.34147874416666646,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","['mp-1184230', 'mp-1417154', 'mp-1616406', 'mp-1766806']",0.0,8.49413897649243,,[],"# generated using pymatgen
data_Fe3Ag
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.77600800
_cell_length_b   3.77600800
_cell_length_c   3.77600800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe3Ag
_chemical_formula_sum   'Fe3 Ag1'
_cell_volume   53.83921477
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.50000000  0.50000000  1
  Fe  Fe1  1  0.50000000  0.00000000  0.50000000  1
  Fe  Fe2  1  0.50000000  0.50000000  0.00000000  1
  Ag  Ag3  1  0.00000000  0.00000000  0.00000000  1
",7.7682589,mp-1184230,None,[],,,,Fe3Ag1
-15.58060157,-3.8951503925,67.62583744946122,0.3465706599999998,4,"{'Fe': 1.0, 'Ag': 3.0}",FeAg3,False,"['Fe', 'Ag']",2,0.3465706599999998,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}","['mp-973569', 'mp-973533', 'mp-1429804', 'mp-1616607', 'mp-1766039']",0.0,9.317309897664911,,[],"# generated using pymatgen
data_FeAg3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.57308441
_cell_length_b   4.57308441
_cell_length_c   4.57308441
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   FeAg3
_chemical_formula_sum   'Fe1 Ag3'
_cell_volume   67.62583745
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.00000000  0.00000000  1
  Ag  Ag1  1  0.25000000  0.25000000  0.25000000  1
  Ag  Ag2  1  0.75000000  0.75000000  0.75000000  1
  Ag  Ag3  1  0.50000000  0.50000000  0.50000000  1
",3.1663876,mp-973533,None,[],"{'G_Reuss': -15.0, 'G_VRH': 8.0, 'G_Voigt': 32.0, 'G_Voigt_Reuss_Hill': 8.0, 'K_Reuss': 133.0, 'K_VRH': 133.0, 'K_Voigt': 133.0, 'K_Voigt_Reuss_Hill': 133.0, 'elastic_anisotropy': -15.7, 'elastic_tensor': [[126.0, 137.0, 137.0, 0.0, 0.0, 0.0], [137.0, 126.0, 137.0, 0.0, 0.0, 0.0], [137.0, 137.0, 126.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 56.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 56.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 56.0]], 'homogeneous_poisson': 0.47, 'poisson_ratio': 0.47, 'universal_anisotropy': -15.7, 'elastic_tensor_original': [[126.39787299060168, 136.58551208368212, 136.58551208368212, -0.6818455653720606, -0.1749534501992634, 0.1749534501992634], [136.58551208368212, 126.39787299060168, 136.58551208368212, -0.17495345019926864, 0.6818455653720551, -0.17494985027230564], [136.58551208368212, 136.58551208368212, 126.39787299060168, -0.17494985027231116, -0.17494985027231116, 0.6818455653720606], [0.0, 0.0, 0.0, 56.00753169511144, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 56.00753169511144, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 56.00753169511144]], 'compliance_tensor': [[-64.6, 33.6, 33.6, 0.0, -0.0, -0.0], [33.6, -64.6, 33.6, -0.0, 0.0, 0.0], [33.6, 33.6, -64.6, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 17.9, 0.0, 0.0], [-0.0, 0.0, -0.0, 0.0, 17.9, 0.0], [-0.0, 0.0, -0.0, 0.0, 0.0, 17.9]], 'warnings': ['Elastic tensor has a negative eigenvalue', 'c11 and c12 are within 5% or c12 is greater than c11', 'c11 and c13 are within 5% or c13 is greater than c11', 'c11 and c23 are within 5% or c23 is greater than c11', 'One or more K, G below 2 GPa'], 'nsites': 4}",,,Fe1Ag3
-31.14515778,-3.8931447225,134.1000796708095,0.3505215987499999,8,"{'Fe': 2.0, 'Ag': 6.0}",FeAg3,False,"['Ag', 'Fe']",2,0.34857632999999977,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}","['mp-1184294', 'mp-1391113', 'mp-1621884', 'mp-1754130', 'mp-1774196']",0.0,9.397323046376977,,[],"# generated using pymatgen
data_FeAg3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.77704635
_cell_length_b   5.77704635
_cell_length_c   4.63966600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000402
_symmetry_Int_Tables_number   1
_chemical_formula_structural   FeAg3
_chemical_formula_sum   'Fe2 Ag6'
_cell_volume   134.10007967
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.33333300  0.66666700  0.75000000  1
  Fe  Fe1  1  0.66666700  0.33333300  0.25000000  1
  Ag  Ag2  1  0.16940600  0.33881200  0.25000000  1
  Ag  Ag3  1  0.66118800  0.83059400  0.25000000  1
  Ag  Ag4  1  0.16940600  0.83059400  0.25000000  1
  Ag  Ag5  1  0.83059400  0.66118800  0.75000000  1
  Ag  Ag6  1  0.33881200  0.16940600  0.75000000  1
  Ag  Ag7  1  0.83059400  0.16940600  0.75000000  1
",0.04509185,mp-1184294,None,[],,,,Fe2Ag6
-11.29355177,-5.646775885,29.806533718959017,0.46066055000000006,2,"{'Al': 1.0, 'Fe': 1.0}",AlFe,False,"['Al', 'Fe']",2,0.7879096499999996,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6/mmm', 'number': 191, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6 2'}","['mp-985652', 'mp-985615', 'mp-985578', 'mp-985655', 'mp-1097869', 'mp-1252254', 'mp-1252934', 'mp-1252996', 'mp-1253342', 'mp-1434908', 'mp-1606241', 'mp-1674548']",0.0,4.614313908264683,,[],"# generated using pymatgen
data_AlFe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.65017176
_cell_length_b   2.65017176
_cell_length_c   4.90041400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999402
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFe
_chemical_formula_sum   'Al1 Fe1'
_cell_volume   29.80653372
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00000000  0.00000000  0.50000000  1
  Fe  Fe1  1  0.00000000  0.00000000  0.00000000  1
",2.4493609,mp-985578,None,[],"{'G_Reuss': 133.0, 'G_VRH': 75.0, 'G_Voigt': 16.0, 'G_Voigt_Reuss_Hill': 75.0, 'K_Reuss': 85.0, 'K_VRH': 85.0, 'K_Voigt': 85.0, 'K_Voigt_Reuss_Hill': 85.0, 'elastic_anisotropy': -4.39, 'elastic_tensor': [[170.0, 109.0, -8.0, 0.0, 0.0, 0.0], [109.0, 170.0, -8.0, 0.0, 0.0, 0.0], [-8.0, -8.0, 245.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -57.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -57.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 31.0]], 'homogeneous_poisson': 0.16, 'poisson_ratio': 0.16, 'universal_anisotropy': -4.39, 'elastic_tensor_original': [[163.23640934280922, 107.27976386483427, -1.8419637581756172, 0.0, 0.0, -2.340007823269626e-05], [115.30590850932366, 172.73802930266953, 8.60033603527389, 0.0, 0.0, -3.7401094310102754e-05], [-20.26219372938741, -20.262194329376495, 244.7004900746111, 0.0, 0.0, 4.399919943457132e-06], [0.0, 0.0, 0.0, -57.5690523078444, 1.2600052793709731e-05, 0.0], [0.0, 0.0, 0.0, 0.0, -57.133649292925305, 0.0], [-1.451883576130083e-07, 0.0, 0.0, 0.0, 0.0, 33.2918274529311]], 'compliance_tensor': [[9.9, -6.3, 0.1, 0.0, 0.0, 0.0], [-6.3, 9.9, 0.1, 0.0, 0.0, 0.0], [0.1, 0.1, 4.1, 0.0, 0.0, 0.0], [-0.0, -0.0, -0.0, -17.4, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -17.4, -0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 32.4]], 'warnings': ['Elastic tensor has a negative eigenvalue'], 'nsites': 2}",,,Al1Fe1
-41.98139196,-6.99689866,75.27933028697036,-0.10217535666666677,6,"{'Al': 2.0, 'Fe': 4.0}",AlFe2,False,"['Al', 'Fe']",2,0.13986521166666588,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fd-3m', 'number': 227, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': 'F 4d 2 3 -1d'}","['mp-929735', 'mp-913253', 'mp-930281', 'mp-31184', 'mp-1252623', 'mp-1258990', 'mp-1386296', 'mp-1626054', 'mp-1757918']",0.0,6.117735277214223,,[],"# generated using pymatgen
data_AlFe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.73947512
_cell_length_b   4.73947512
_cell_length_c   4.73947512
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFe2
_chemical_formula_sum   'Al2 Fe4'
_cell_volume   75.27933029
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.75000000  0.75000000  0.75000000  1
  Al  Al1  1  0.50000000  0.50000000  0.50000000  1
  Fe  Fe2  1  0.12500000  0.62500000  0.12500000  1
  Fe  Fe3  1  0.12500000  0.12500000  0.62500000  1
  Fe  Fe4  1  0.62500000  0.12500000  0.12500000  1
  Fe  Fe5  1  0.12500000  0.12500000  0.12500000  1
",3.60208385,mp-31184,None,[],"{'G_Reuss': 60.0, 'G_VRH': 60.0, 'G_Voigt': 61.0, 'G_Voigt_Reuss_Hill': 60.0, 'K_Reuss': 117.0, 'K_VRH': 117.0, 'K_Voigt': 117.0, 'K_Voigt_Reuss_Hill': 117.0, 'elastic_anisotropy': 0.07, 'elastic_tensor': [[187.0, 83.0, 83.0, 0.0, 0.0, 0.0], [83.0, 187.0, 83.0, 0.0, 0.0, 0.0], [83.0, 83.0, 187.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 66.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 66.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 66.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.07, 'elastic_tensor_original': [[186.7035174451704, 82.88163305666593, 82.88163305666593, 0.0, 0.0, 0.0], [82.87466892490541, 186.6973587626472, 82.87466892490541, 0.0, 0.0, 0.0], [82.85889864845352, 82.85889864845352, 186.68133591901181, 0.0, 0.0, 0.0], [0.00030038364836019934, 0.00018474019374852755, -0.0008337308743744406, 66.32507680175125, 0.0, 0.0], [-0.0008812609242190969, -0.0004755371653864363, 0.00030106698241114935, 0.0, 66.32455988454247, 0.0], [0.0003210670033874899, 0.0006254006558889703, 0.00019694353987733944, 0.0, 0.0, 66.32495688829215]], 'compliance_tensor': [[7.4, -2.3, -2.3, 0.0, -0.0, -0.0], [-2.3, 7.4, -2.3, -0.0, 0.0, -0.0], [-2.3, -2.3, 7.4, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 15.1, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 15.1, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 15.1]], 'warnings': [], 'nsites': 6}",,,Al2Fe4
-29.95121216,-7.48780304,48.5874880145246,-0.19943630249999966,4,"{'Al': 1.0, 'Fe': 3.0}",AlFe3,False,"['Al', 'Fe']",2,0.0,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","['mp-1183162', 'mp-1429401', 'mp-1629671', 'mp-1763833']",0.0,6.647849572889001,,[],"# generated using pymatgen
data_AlFe3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.64900800
_cell_length_b   3.64900800
_cell_length_c   3.64900800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFe3
_chemical_formula_sum   'Al1 Fe3'
_cell_volume   48.58748801
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00000000  0.00000000  0.00000000  1
  Fe  Fe1  1  0.00000000  0.50000000  0.50000000  1
  Fe  Fe2  1  0.50000000  0.00000000  0.50000000  1
  Fe  Fe3  1  0.50000000  0.50000000  0.00000000  1
",6.8925326,mp-1183162,None,[],,,,Al1Fe3
-64.62876939,-4.616340670714286,210.93442771327892,-0.1959475250000001,14,"{'Al': 12.0, 'Fe': 2.0}",Al6Fe,False,"['Al', 'Fe']",2,0.0,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}","['mp-1007811', 'mp-1001394', 'mp-914513', 'mp-570001', 'mp-1182889', 'mp-1257873', 'mp-1419687', 'mp-1599505', 'mp-1695934']",0.0,3.428138323625311,,[607497],"# generated using pymatgen
data_Al6Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.91636044
_cell_length_b   4.91636044
_cell_length_c   8.81622600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   98.16301615
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al6Fe
_chemical_formula_sum   'Al12 Fe2'
_cell_volume   210.93442771
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.32259800  0.67740200  0.00000000  1
  Al  Al1  1  0.14590500  0.14590500  0.59789300  1
  Al  Al2  1  0.32259800  0.67740200  0.50000000  1
  Al  Al3  1  0.85409500  0.85409500  0.40210700  1
  Al  Al4  1  0.39217500  0.02848700  0.25000000  1
  Al  Al5  1  0.67740200  0.32259800  0.50000000  1
  Al  Al6  1  0.14590500  0.14590500  0.90210700  1
  Al  Al7  1  0.60782500  0.97151300  0.75000000  1
  Al  Al8  1  0.97151300  0.60782500  0.75000000  1
  Al  Al9  1  0.02848700  0.39217500  0.25000000  1
  Al  Al10  1  0.85409500  0.85409500  0.09789300  1
  Al  Al11  1  0.67740200  0.32259800  0.00000000  1
  Fe  Fe12  1  0.46006900  0.46006900  0.75000000  1
  Fe  Fe13  1  0.53993100  0.53993100  0.25000000  1
",0.0090399,mp-570001,None,['Iron aluminide (1/6)'],"{'G_Reuss': 53.0, 'G_VRH': 56.0, 'G_Voigt': 58.0, 'G_Voigt_Reuss_Hill': 56.0, 'K_Reuss': 106.0, 'K_VRH': 106.0, 'K_Voigt': 106.0, 'K_Voigt_Reuss_Hill': 106.0, 'elastic_anisotropy': 0.46, 'elastic_tensor': [[224.0, 63.0, 49.0, 0.0, 0.0, 0.0], [63.0, 161.0, 80.0, 0.0, 0.0, 0.0], [49.0, 80.0, 189.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 64.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 63.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 35.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.46, 'elastic_tensor_original': [[224.3304903440594, 45.91477449994608, 61.33681587398955, 0.0, 0.0, 0.0], [51.466451273922004, 188.7317716356934, 81.16967884724983, 0.0, 0.0, 0.0], [63.79226271754818, 78.48308051278761, 160.59881507997943, 0.0, 0.0, 0.0], [-0.2475364577835478, -0.24740020104837726, -0.24996026233546106, 64.21934953327174, 0.0, 0.0], [0.33631488805496856, 0.33107282369444685, 0.3610360959655632, 0.0, 35.347859647975746, 0.0], [0.10406294789915892, 0.10107491252454966, 0.10455420081528054, 0.0, 0.0, 62.95106849237125]], 'compliance_tensor': [[5.1, -1.7, -0.6, 0.0, -0.0, 0.0], [-1.7, 8.4, -3.1, 0.0, -0.0, 0.0], [-0.6, -3.1, 6.8, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 15.6, 0.0, 0.0], [-0.0, -0.0, 0.0, 0.0, 15.9, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 28.3]], 'warnings': [], 'nsites': 14}",,,Al12Fe2
-109.53028401,-5.76475179,255.45582898666956,-0.2788576194736841,19,"{'Al': 12.0, 'Fe': 7.0}",Al12Fe7,False,"['Al', 'Fe']",2,1.7216052631496837e-05,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-1', 'number': 2, 'point_group': '-1', 'crystal_system': 'triclinic', 'hall': '-P 1'}","['mp-1214901', 'mp-1345573', 'mp-1685071']",0.0,4.6457206359114975,,[],"# generated using pymatgen
data_Al12Fe7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.79494800
_cell_length_b   6.38964701
_cell_length_c   8.70895663
_cell_angle_alpha   87.82359454
_cell_angle_beta   74.76322475
_cell_angle_gamma   82.87878965
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al12Fe7
_chemical_formula_sum   'Al12 Fe7'
_cell_volume   255.45582899
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.41381700  0.45309900  0.30068000  1
  Al  Al1  1  0.58618300  0.54690100  0.69932000  1
  Al  Al2  1  0.04135700  0.12573700  0.70942700  1
  Al  Al3  1  0.95864300  0.87426300  0.29057300  1
  Al  Al4  1  0.59839000  0.18726100  0.52315100  1
  Al  Al5  1  0.40161000  0.81273900  0.47684900  1
  Al  Al6  1  0.31017100  0.66305200  0.03253200  1
  Al  Al7  1  0.68982900  0.33694800  0.96746800  1
  Al  Al8  1  0.00994500  0.29366600  0.17262600  1
  Al  Al9  1  0.99005500  0.70633400  0.82737400  1
  Al  Al10  1  0.49157800  0.00795100  0.16548100  1
  Al  Al11  1  0.50842200  0.99204900  0.83451900  1
  Fe  Fe12  1  0.22684200  0.35249700  0.88003000  1
  Fe  Fe13  1  0.77315800  0.64750300  0.11997000  1
  Fe  Fe14  1  0.13950800  0.15616200  0.41737500  1
  Fe  Fe15  1  0.86049200  0.84383800  0.58262500  1
  Fe  Fe16  1  0.00000000  0.00000000  0.00000000  1
  Fe  Fe17  1  0.16546500  0.48089500  0.58596100  1
  Fe  Fe18  1  0.83453500  0.51910500  0.41403900  1
",0.1373111,mp-1214901,None,[],,,,Al12Fe7
-40.64599146,-5.0807489325,109.43277322920537,-0.15424279999999957,8,"{'Al': 6.0, 'Fe': 2.0}",Al3Fe,False,"['Al', 'Fe']",2,0.08109519750000072,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}","['mp-984873', 'mp-997656', 'mp-1253125', 'mp-1392210', 'mp-1621793', 'mp-1753577']",0.0,4.151306674196288,,[],"# generated using pymatgen
data_Al3Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.37497534
_cell_length_b   5.37497534
_cell_length_c   4.37384900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999189
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al3Fe
_chemical_formula_sum   'Al6 Fe2'
_cell_volume   109.43277323
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.17130300  0.34260700  0.25000000  1
  Al  Al1  1  0.65739300  0.82869700  0.25000000  1
  Al  Al2  1  0.17130300  0.82869700  0.25000000  1
  Al  Al3  1  0.82869700  0.65739300  0.75000000  1
  Al  Al4  1  0.34260700  0.17130300  0.75000000  1
  Al  Al5  1  0.82869700  0.17130300  0.75000000  1
  Fe  Fe6  1  0.33333300  0.66666700  0.75000000  1
  Fe  Fe7  1  0.66666700  0.33333300  0.25000000  1
",0.2963979,mp-984873,None,[],"{'G_Reuss': 51.0, 'G_VRH': 53.0, 'G_Voigt': 55.0, 'G_Voigt_Reuss_Hill': 53.0, 'K_Reuss': 125.0, 'K_VRH': 125.0, 'K_Voigt': 125.0, 'K_Voigt_Reuss_Hill': 125.0, 'elastic_anisotropy': 0.35, 'elastic_tensor': [[211.0, 93.0, 73.0, 0.0, 0.0, 0.0], [93.0, 211.0, 73.0, 0.0, 0.0, 0.0], [73.0, 73.0, 228.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 39.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 39.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 59.0]], 'homogeneous_poisson': 0.31, 'poisson_ratio': 0.31, 'universal_anisotropy': 0.35, 'elastic_tensor_original': [[209.17068240037474, 92.76279108391931, 70.27629860341023, 0.0, 0.0, 0.0], [94.9758992147343, 211.9216102784285, 73.06506153977178, 0.0, 0.0, 0.0], [74.52870260535234, 74.52870814432333, 227.62139424795564, 0.0, 0.0, 0.0], [0.0001405199644396823, 0.00012999663376905124, 0.00014577662977903973, 39.317852480081605, 0.0, 0.0], [-5.9179555412499206e-05, -4.9462901247372286e-05, -3.4759668587093136e-05, 0.0, 39.668105044777874, 0.0], [0.0025671036266251323, 0.0025302203870006387, 0.002288040566247382, 0.0, 0.0, 59.34783541133052]], 'compliance_tensor': [[6.2, -2.3, -1.2, -0.0, -0.0, 0.0], [-2.3, 6.2, -1.2, -0.0, -0.0, 0.0], [-1.2, -1.2, 5.2, 0.0, 0.0, -0.0], [-0.0, -0.0, 0.0, 25.3, 0.0, -0.0], [-0.0, -0.0, 0.0, 0.0, 25.3, 0.0], [0.0, 0.0, -0.0, -0.0, 0.0, 17.0]], 'warnings': [], 'nsites': 8}",,,Al6Fe2
